id,num_drivers,created_at,updated_at,driver_eta
10390,0,2017-11-01 06:10:36.395542,2017-11-01 06:10:36.395542,1000
10391,1,2017-11-01 06:13:56.401294,2017-11-01 06:13:56.401294,3
10392,2,2017-11-01 06:15:16.283498,2017-11-01 06:15:16.283498,4
10397,1,2017-11-01 06:24:36.29935,2017-11-01 06:24:36.29935,2
10398,1,2017-11-01 06:25:56.314877,2017-11-01 06:25:56.314877,1
10402,2,2017-11-01 06:28:36.300064,2017-11-01 06:28:36.300064,2
10406,2,2017-11-01 06:32:36.270088,2017-11-01 06:32:36.270088,5
10407,3,2017-11-01 06:33:56.555899,2017-11-01 06:33:56.555899,3
10413,2,2017-11-01 06:39:16.340034,2017-11-01 06:39:16.340034,0
10414,2,2017-11-01 06:40:36.266852,2017-11-01 06:40:36.266852,1
10416,1,2017-11-01 06:41:56.357186,2017-11-01 06:41:56.357186,2
10424,1,2017-11-01 07:17:56.38461,2017-11-01 07:17:56.38461,2
10426,1,2017-11-01 07:19:16.260265,2017-11-01 07:19:16.260265,0
10427,1,2017-11-01 07:20:36.480897,2017-11-01 07:20:36.480897,1
10432,1,2017-11-01 07:29:56.251015,2017-11-01 07:29:56.251015,2
10437,1,2017-11-01 07:32:36.425018,2017-11-01 07:32:36.425018,7
10440,1,2017-11-01 12:01:36.411012,2017-11-01 12:01:36.411012,7
10442,1,2017-11-01 12:09:36.675629,2017-11-01 12:09:36.675629,5
10447,1,2017-11-01 12:19:56.573086,2017-11-01 12:19:56.573086,3
10451,2,2017-11-01 12:25:16.33849,2017-11-01 12:25:16.33849,4
10393,2,2017-11-01 06:17:16.525041,2017-11-01 06:17:16.525041,5
10394,1,2017-11-01 06:19:56.426398,2017-11-01 06:19:56.426398,5
10395,1,2017-11-01 06:21:16.352348,2017-11-01 06:21:16.352348,4
10400,1,2017-11-01 06:27:56.343504,2017-11-01 06:27:56.343504,1
10404,2,2017-11-01 06:30:36.426069,2017-11-01 06:30:36.426069,4
10405,3,2017-11-01 06:31:56.309685,2017-11-01 06:31:56.309685,2
10410,2,2017-11-01 06:35:56.326073,2017-11-01 06:35:56.326073,3
10412,2,2017-11-01 06:38:36.361213,2017-11-01 06:38:36.361213,1
10418,1,2017-11-01 06:58:36.442696,2017-11-01 06:58:36.442696,5
10425,1,2017-11-01 07:18:36.345456,2017-11-01 07:18:36.345456,1
10428,1,2017-11-01 07:21:16.380212,2017-11-01 07:21:16.380212,2
10429,1,2017-11-01 07:22:36.282285,2017-11-01 07:22:36.282285,3
10430,1,2017-11-01 07:23:56.437467,2017-11-01 07:23:56.437467,4
10436,1,2017-11-01 07:31:56.508037,2017-11-01 07:31:56.508037,6
10444,0,2017-11-01 12:11:16.373173,2017-11-01 12:11:16.373173,1000
10449,2,2017-11-01 12:23:16.475712,2017-11-01 12:23:16.475712,2
10396,1,2017-11-01 06:23:36.331553,2017-11-01 06:23:36.331553,3
