id,created_at,updated_at,status,order_id
52915,2017-11-02 04:11:39.615922,2017-11-02 04:11:39.615922,processing,12353
52917,2017-11-02 04:19:14.85304,2017-11-02 04:19:14.85304,requesting,12353
52918,2017-11-02 04:19:28.468404,2017-11-02 04:19:28.468404,accepted,12353
52919,2017-11-02 04:19:44.163171,2017-11-02 04:19:44.163171,arrived,12353
52922,2017-11-02 04:22:16.11094,2017-11-02 04:22:16.11094,delivering,12353
64625,2017-11-15 17:41:39.496994,2017-11-15 17:41:39.496994,submitted,12381
64632,2017-11-15 17:43:18.053936,2017-11-15 17:43:18.053936,processing,12381
64654,2017-11-15 17:51:51.52936,2017-11-15 17:51:51.52936,requesting,12381
64655,2017-11-15 17:52:02.342545,2017-11-15 17:52:02.342545,accepted,12381
64686,2017-11-15 18:07:22.288415,2017-11-15 18:07:22.288415,arrived,12381
64687,2017-11-15 18:07:24.19318,2017-11-15 18:07:24.19318,delivering,12381
52587,2017-11-01 21:06:21.925713,2017-11-01 21:06:21.925713,submitted,12622
52588,2017-11-01 21:07:34.805917,2017-11-01 21:07:34.805917,processing,12622
52593,2017-11-01 21:21:46.450434,2017-11-01 21:21:46.450434,requesting,12622
52594,2017-11-01 21:21:55.505376,2017-11-01 21:21:55.505376,accepted,12622
52599,2017-11-01 21:27:13.751957,2017-11-01 21:27:13.751957,arrived,12622
52603,2017-11-01 21:29:01.904746,2017-11-01 21:29:01.904746,delivering,12622
52860,2017-11-02 02:34:13.219737,2017-11-02 02:34:13.219737,submitted,12869
52861,2017-11-02 02:34:22.575746,2017-11-02 02:34:22.575746,processing,12869
52884,2017-11-02 02:59:23.769671,2017-11-02 02:59:23.769671,requesting,12869
52885,2017-11-02 02:59:33.623546,2017-11-02 02:59:33.623546,accepted,12869
52889,2017-11-02 03:04:28.026192,2017-11-02 03:04:28.026192,arrived,12869
52890,2017-11-02 03:04:32.404382,2017-11-02 03:04:32.404382,delivering,12869
52088,2017-11-01 03:15:46.634486,2017-11-01 03:15:46.634486,submitted,13077
52090,2017-11-01 03:18:21.037235,2017-11-01 03:18:21.037235,processing,13077
52102,2017-11-01 03:30:00.696005,2017-11-01 03:30:00.696005,requesting,13077
52103,2017-11-01 03:30:22.045713,2017-11-01 03:30:22.045713,accepted,13077
52118,2017-11-01 03:46:06.81547,2017-11-01 03:46:06.81547,arrived,13077
52119,2017-11-01 03:46:09.958198,2017-11-01 03:46:09.958198,delivering,13077
55550,2017-11-05 04:51:13.665274,2017-11-05 04:51:13.665274,submitted,14955
55551,2017-11-05 04:51:19.347534,2017-11-05 04:51:19.347534,processing,14955
55560,2017-11-05 05:09:14.588744,2017-11-05 05:09:14.588744,requesting,14955
55561,2017-11-05 05:09:22.50039,2017-11-05 05:09:22.50039,accepted,14955
55565,2017-11-05 05:13:30.266551,2017-11-05 05:13:30.266551,arrived,14955
55569,2017-11-05 05:22:08.668867,2017-11-05 05:22:08.668867,delivered,14955
